ADADA N048.17.42.201 E002.00.12.801 ; LF
ADAMS N049.48.29.001 E011.55.59.998 ; ED
ADAM_CS N052.22.44.231 E004.54.00.731 ; EH
ADATI N048.03.11.199 E002.28.27.699 ; LF
ADEMI N051.28.58.000 E007.53.18.999 ; ED
ADENU N050.01.32.001 E006.54.29.998 ; ED
ADEVO N049.57.06.199 E008.20.24.691 ; ED
ADIBA N050.33.06.001 E010.23.16.000 ; ED
ADILO N047.20.44.930 E010.56.51.550 ; LO
ADKUV N050.30.24.998 E006.49.02.999 ; ED
ADLET N048.34.03.359 E014.17.57.418 ; LO
ADLIR N052.24.01.000 E013.37.18.998 ; ED
ADMOS N051.43.26.000 E010.50.12.998 ; ED
ADMUM N050.33.38.001 E007.10.28.999 ; ED
ADNIS N049.42.00.331 E009.17.23.550 ; ED
ADNOR N050.01.02.099 E002.24.22.500 ; LF
ADOGA N048.01.08.230 E007.26.57.001 ; LF
ADSIN N052.14.17.880 E009.25.50.408 ; ED
ADSUD N049.52.55.898 E002.27.34.999 ; LF
ADUSU N049.57.21.999 E006.11.45.999 ; ED
ADUTO N050.30.54.000 E003.21.42.001 ; LF
ADVAB N052.07.50.001 E016.43.37.999 ; EP
ADWIG N047.20.06.820 E011.51.20.451 ; LO
AF177 N050.56.30.919 E004.36.07.300 ; EB
AF22  N047.14.21.890 E008.28.19.160 ; LS
AFNAF N050.58.00.998 E006.50.12.001 ; ED
